source_id,source_type,title,author_or_body,date_or_year,identifier,canonical_url,archive_or_mirror,rights_status,topics,research_state,notes
SRC-0027,vendor-corpus,Bell System Data Set manuals and announcements,AT&T/Bell System,1950s-1980s,various,,,copyright/archival,"Bell 101;Bell 103;modems;leased lines",priority,"Required to resolve Bell 101/103 chronology"
SRC-0028,government-report-corpus,On Distributed Communications,Paul Baran/RAND,1960s,RAND report series,,,verify,"distributed communications;message blocks;survivability",priority,"Record each volume/report separately"
SRC-0029,source-code-corpus,BSD networking source trees,CSRG/Berkeley,1980s,various releases,,,license varies,"TCP/IP;sockets;BSD;congestion control",priority,"Track 4.1a/b/c 4.2 4.3 Tahoe Reno separately"
SRC-0030,source-code-corpus,UUCP and Usenet source trees,various,1970s-1990s,various,,,license varies,"UUCP;Usenet;A News;B News;C News",started,"Deep-dive sources identified; preserve source versions and operational maps/configuration"
SRC-0031,academic-paper,Data Communications at the National Physical Laboratory (1965–1975),Martin Campbell-Kelly,1987-1988,"Annals of the History of Computing 9(3/4)",,https://archive.org/details/DataCommunicationsAtTheNationalPhysicalLaboratory,verify,"NPL;packet switching;BS4421;Mark I;Mark II;people",mined,"Archive-based scholarly study with participant interviews; central map to surviving NPL memoranda"
SRC-0032,institutional-history,Donald Davies,National Physical Laboratory,ongoing,,https://www.npl.co.uk/about-us/history/famous/donald-davies,,web,"Donald Davies;NPL;packet switching",mined,"Institutional chronology; pair with project memoranda"
SRC-0033,institutional-report,Packet Switching: The first steps on the road to the information society,National Physical Laboratory,retrospective,,https://www.npl.co.uk/getattachment/de2d9db5-999d-4a75-99ce-6730b8c204a6/UK-role-in-Packet-Switching-%281%29.pdf,,verify,"NPL;packet switching;Mark I;Mark II",skimmed,"Useful retrospective; extract claim-level locators before treating as canonical"
SRC-0034,academic-paper,Presentation and Major Design Aspects of the CYCLADES Computer Network,Louis Pouzin,1973,CYCLADES design paper,,https://walden-family.com/am254/vol1-9e-pouzin-cyclades.pdf,verify,"CYCLADES;CIGALE;hosts;datagram;architecture",mined,"Primary contemporary design paper; also cited by early Internet documents"
SRC-0035,academic-paper,"CIGALE, The Packet Switching Machine of the CYCLADES Computer Network",Louis Pouzin,1974,IFIP 1974,,https://rogerdmoore.info/PS/CIGALE/CIGALE.html,verify,"CIGALE;Mitra 15;V.24;leased lines;routing;operations",mined,"Online transcription gives concrete hardware/software details; locate stable scan/original proceedings"
SRC-0036,academic-paper,The CYCLADES Network — Present State and Development Trends,Louis Pouzin,1975,CYCLADES status paper,,https://www.rogerdmoore.info/PS/CIGALE/CYCL2.html,verify,"CYCLADES;operations;chronology;terminal concentrators",mined,"Contemporary status chronology; locate original scan"
SRC-0037,contemporary-press,NPL-CYCLADES packet-network interconnection report,Computer Weekly,1974-06-13,"Computer Weekly issue/date",,https://www.tnmoc.org/notes-from-the-museum/2023/10/04/fifty-years-ago-from-the-pages-of-computer-weekly-c72lb-xdn8p-fdjlr-ahz981-lw8bw-8x5kr-l5eja-6kpe7-7tt86-9yej8-csrke-9e4zz,verify,"NPL;CYCLADES;Codex modem;9600 baud;BSC",mined,"Museum-preserved excerpt is contemporary lead; seek original full article and NPL/IRIA engineering records"
SRC-0038,academic-paper,Development of the ALOHANET,Norman Abramson,1985,retrospective engineering paper,https://www.eng.hawaii.edu/wp-content/uploads/2020/06/abramson1985-Development-of-the-ALOHANET.pdf,,copyrighted-link-only,"ALOHAnet;UHF;TCU;RS-232;packet radio",mined,"Participant retrospective with concrete frequencies/rate/range; cross-check early project papers"
SRC-0039,institutional-archive,ALOHAnet paper archive,University of Hawaiʻi College of Engineering,ongoing,,https://www.eng.hawaii.edu/about/history/alohanet/,,web,"ALOHAnet;papers;packet radio",mined,"Discovery spine for original ALOHA publications"
SRC-0040,government-report,NBS/NIST packet-network historical review,NBS/NIST,1981-1982,"Journal of Research/NBS packet network review",https://nvlpubs.nist.gov/nistpubs/jres/086/6/jresv86n6.pdf,,government-work-check-jurisdiction,"ALOHAnet;packet formats;network diagrams",skimmed,"Contains useful retrospective packet/resource diagrams; verify exact revision before importing format facts"
SRC-0041,standard,Recommendation X.25 (Orange Book 1976),CCITT,1976-10,X.25 1976,https://www.itu.int/ITU-T/recommendations/rec.aspx?lang=en&rec=10605,https://search.itu.int/history/HistoryDigitalCollectionDocLibrary/4.257.43.en.1017.pdf,copyrighted-link-only,"X.25;DTE;DCE;logical channels;virtual calls",mined,"Treat edition as distinct object; later editions must not overwrite 1976 behavior"
SRC-0042,standards-volume,Provisional Recommendations X.3 X.25 X.28 X.29,CCITT,1976,Orange Book provisional packet/PAD recommendations,https://search.itu.int/history/HistoryDigitalCollectionDocLibrary/4.257.43.en.1020.pdf,,copyrighted-link-only,"X.3;X.25;X.28;X.29;PAD",mined,"Primary standards volume for Triple-X PAD archaeology"
SRC-0043,rfc,A Standard for the Transmission of IP Datagrams over Public Data Networks,Internet community,1983,RFC 877,https://www.rfc-editor.org/rfc/rfc877.html,,RFC distribution terms,"IP;X.25;CSNET;virtual circuits",mined,"Primary evidence that deployed TCP/IP and X.25 histories overlap rather than form separate camps"
SRC-0044,technical-paper,A Dial-Up Network of UNIX Systems,"D. A. Nowitz; M. E. Lesk",1970s,"UNIX system managers manual paper",,https://bitsavers.trailing-edge.com/pdf/usenix/Usenix_BSD_Manuals/4.3_1st_printing_198611/SMM_Unix_System_Managers_Manual_4.3BSD_198604.pdf,verify,"UUCP;dial-up;telephone;store-and-forward",mined,"Preserved in later BSD manual collection; locate earliest edition/publication copy"
SRC-0045,manual-index,Seventh Edition UNIX documentation index,Bell Labs/UNIX,1979,V7 /usr/doc index,https://www.tuhs.org/cgi-bin/utree.pl?file=V7/usr/doc/index,,archive,"UUCP;UNIX documentation",mined,"Confirms inclusion of dial-up network and UUCP implementation descriptions; follow into exact files"
SRC-0046,participant-history,Distributing the News,USENIX/participants,2015 retrospective,login historical article,https://www.usenix.org/system/files/login/issues/login_aug15_issue.pdf,,copyrighted-link-only,"Usenet;A News;B News;UUCP",mined,"Participant history useful for attribution/release chronology; verify against source distributions and announcements"
SRC-0047,source-code,C News source and patch archive,"Geoff Collyer; Henry Spencer; contributors",1989-1990s,various C News releases,https://www.tuhs.org/Usenet/comp.sources.bugs/1990-January/002455.html,,license-check,"C News;Usenet;spool;history;operations",skimmed,"Concrete operational evidence; build complete release/patch manifest"
SRC-0048,rfc,The DARPA Internet Gateway,"Robert Hinden; Alan Sheltzer",1982,RFC 823,https://www.rfc-editor.org/rfc/rfc823.html,,RFC distribution terms,"gateway;router;PDP-11;interfaces;GGP;INOC",mined,"Exceptional primary description of hardware interfaces software structure queueing and operations"
SRC-0049,rfc,A Glossary of Networking Terms,Internet Engineering community,1991,RFC 1208,https://www.rfc-editor.org/rfc/rfc1208.html,,RFC distribution terms,"terminology;gateway;router",mined,"Primary evidence for terminology shift; use period terms in historical records"
SRC-0050,rfc,Requirements for Internet Gateways,Internet Engineering community,1987,RFC 1009,https://www.rfc-editor.org/rfc/rfc1009.html,,RFC distribution terms,"gateway;router;IP requirements",skimmed,"Bridge between experimental gateways and standardized Internet-router requirements"
SRC-0051,historical-archive,The Fuzzball,David L. Mills,retrospective/source archive,Fuzzball archive,https://www.eecis.udel.edu/~mills/gallery/gallery10.html,,rights-check,"Fuzzball;NSFNET;PDP-11;source code;congestion",mined,"Participant archive reports surviving source/binaries and original 56-kbit/s NSFNET experience"
SRC-0052,academic-paper,The NSFNET Backbone Network,"D. L. Mills; H.-W. Braun",1987,SIGCOMM 1987,https://www.ntp.org/reflib/papers/bone.pdf,,copyrighted-link-only,"NSFNET;Fuzzball;DDCMP;routing;backbone",mined,"Primary contemporary technical paper; stable open author/research-community copy registered"
SRC-0053,institutional-history,NSFNET: A Partnership for High-Speed Networking,Merit Network,1995,Final report NSFNET 1987-1995,https://www.merit.edu/wp-content/uploads/2024/10/Merit-Network_NSFNET-A-Partnership-for-High-Speed-Networking.pdf,,copyrighted-link-only,"NSFNET;IBM RT;NSS;Token Ring;WACS;NOC;operations",mined,"Figure 14 gives nine-RT processor-role architecture; structured source record added; contemporary BOMs still needed"
SRC-0054,participant-history,Increasing Growth Speed Coverage and Reliability: Hans-Werner Braun and the Development of the NSFNET,Internet Society,retrospective,,https://news.internetsociety.org/increasing-growth-speed-coverage-and-reliability-hans-werner-braun-and-the-development-of-the-nsfnet/,,web,"NSFNET;Hans-Werner Braun;operations;growth",skimmed,"Participant-oriented context; use for leads and cross-checks"
SRC-0055,technical-report,Specifications for the Interconnection of a Host and an IMP,Bolt Beranek and Newman Inc.,1976-01,BBN Report 1822,,https://www.bitsavers.org/pdf/bbn/imp/BBN1822_Jan1976.pdf,rights-unclear-link-only,"ARPANET;1822;Host-IMP;Local Host;Distant Host;ready lines",started,"January 1976 revision; earlier revisions must remain distinct and need their own records"
SRC-0056,hardware-manual,ALTO: A Personal Computer System — Hardware Manual,Xerox PARC,1979-05,May 1979 Hardware Manual,https://xeroxalto.computerhistory.org/_cd8_/altodocs/.altohardware.press%212.pdf,https://xeroxalto.computerhistory.org/,copyrighted-link-only,"Alto;2.94 Mbit/s Ethernet;transceiver;microcode;CRC;collision",mined,"Primary manual for mature Alto-era implementation; do not back-project every detail to the 1973 prototype"
SRC-0057,protocol-specification,Pup Specifications,"Ed Taft; Bob Metcalfe; Xerox PARC/CSL",1978-06-30,30 June 1978 update,https://xeroxalto.computerhistory.org/_cd8_/pup/.pupspec.press%211.pdf,https://xeroxalto.computerhistory.org/,copyrighted-link-only,"PUP;internetworking;gateway;Ethernet;ARPANET;Byte Stream",mined,"Updates 20 October 1975 version; earlier specification needs separate record"
SRC-0058,academic-paper,The Fuzzball,David L. Mills,1988-08,SIGCOMM 1988,https://www.eecis.udel.edu/~mills/database/papers/fuzz.pdf,https://www.eecis.udel.edu/~mills/gallery/gallery10.html,copyrighted-author-hosted-link-only,"Fuzzball;PDP-11;LSI-11;drivers;zero-copy;HELLO;clock",mined,"Primary participant/contemporary architecture paper with surviving implementation archive"
SRC-0059,rfc,The Request for Comments Reference Guide,Jon Postel,1987-08,RFC 1000,https://www.rfc-editor.org/rfc/rfc1000.html,,RFC distribution terms,"RFC history;ARPANET;Steve Crocker;UCLA;Wingfield",mined,"Contains Steve Crocker's retrospective on first RFCs, Mike Wingfield's interface and first IMP delivery"
SRC-0060,rfc,Ready Line Philosophy and Implementation,Jerry Burchfiel,1974-05,RFC 642,https://www.rfc-editor.org/rfc/rfc642.html,,RFC distribution terms,"1822;ready lines;Host-IMP;implementation practice",mined,"Operational cookbook showing interoperability ambiguity in real Host-IMP interface implementations"
SRC-0061,archival-memo,Ether Acquisition / Alto Aloha Network concept,Bob Metcalfe,1973-05-22,PARC internal memo,,https://www.digibarn.com/collections/diagrams/ethernet-original/,rights-check-link-only,"Ethernet;Alto Aloha Network;PARC;shared medium",started,"Preserved scan/provenance lead; locate primary CHM/PARC catalog record and exact memo title/file identifier"
SRC-0062,source-code-corpus,Fuzzball source and binary archive,David L. Mills,1970s-1992,Fuzzball source archive,https://www.eecis.udel.edu/~mills/resource.html,,rights-check,"Fuzzball;source code;PDP-11;MACRO-11;RT-11;build archaeology",priority,"Create manifest/checksum record for the actual archive file and map source modules to the 1988 paper"
SRC-0063,technical-reference,Wideband Data Stations 303 Type,Bell System,1966-08,Bell System Technical Reference,https://bitsavers.trailing-edge.com/communications/westernElectric/modems/303_Wideband_Data_Stations_Technical_Reference_Aug66.pdf,,rights-unclear-link-only,"Bell 303;303C;50 kbit/s;wideband;group channel;Burndy;carrier plant",mined,"Primary product/facility reference; distinguishes 303B/C/D/E and X303A predecessor; does not by itself prove exact ARPANET site suffix"
SRC-0064,government-report,ARPANET Host to Host Access and Disengagement Measurements,Judd A. Payne / NTIA,1978-05,NTIA Report 78-3,https://its.ntia.gov/publications/download/78-3.pdf,,government-work-check,"ARPANET;VDH;Bell 303;PDP-11;TIP;BSC;50 kbit/s",mined,"Concrete VDH installation: Bell 303 each end; almost 1800 ft two-pair shielded twisted cable; 50 kbit/s full duplex"
SRC-0065,academic-paper,Ethernet: Distributed Packet Switching for Local Computer Networks,"Robert M. Metcalfe; David R. Boggs",1976,Communications of the ACM paper,https://www.cs.cornell.edu/courses/cs414/2002sp/papers/ethernet/ethernet.htm,,copyrighted-link-only,"experimental Ethernet;3 Mbit/s;coax;CATV taps;transceiver;collision;CRC",mined,"Contemporary implementation description; distinguish experimental Ethernet from DIX/IEEE 802.3"
SRC-0066,hardware-specification,Ethernet Transceiver Electrical Characteristics,Xerox PARC,1970s,Xerox Alto Ethernet document,,https://www.bitsavers.org/pdf/xerox/alto/ethernet/,copyrighted-link-only,"experimental Ethernet;transceiver;electrical characteristics;TTL;coax",discovered,"Searchable archival lead found, but primary scan numerical values not yet visually verified; acquire/checksum before canonical extraction"
SRC-0067,rfc,The NSFNET Backbone SPF Based Interior Gateway Protocol,Yakov/Jacob Rekhter,1988-10,RFC 1074,https://www.rfc-editor.org/rfc/rfc1074.html,,RFC distribution terms,"NSFNET;NSS;IBM RT;T1;4.3BSD;IS-IS;EGP;policy routing",mined,"Contemporary architecture/protocol evidence; structured source record added"
SRC-0068,mailing-list-message,T1 NSFNet NSS Dismantling - January 1993,Bob Farzami,1992-12-24,NANOG archive,https://lists.nanog.org/archives/list/nanog@lists.nanog.org/1992/12/,,mailing-list-archive-link-only,"NSFNET;NSS;IBM RT;dismantling;donation;provenance",mined,"Approximately 4-6 former NSS RTs offered per site; most lacked monitor/keyboard because they had been routers"
SRC-0069,rfc,The NSFNET Routing Architecture,Hans-Werner Braun,1989-02,RFC 1093,https://www.rfc-editor.org/rfc/rfc1093.html,,RFC distribution terms,"NSFNET;RCP;PSP;SPF;EGP;routing architecture",mined,"Explicit contemporary RCP/PSP terminology and routing-policy architecture"
SRC-0070,rfc,EGP and Policy Based Routing in the New NSFNET Backbone,Yakov/Jacob Rekhter,1989-02,RFC 1092,https://www.rfc-editor.org/rfc/rfc1092.html,,RFC distribution terms,"NSFNET;EGP;policy routing;NSS",started,"Mine policy-database formats and route-selection behavior for RCP software archaeology"
SRC-0071,rfc,A Border Gateway Protocol 4 (BGP-4),"Yakov Rekhter; Tony Li",1995-03,RFC 1771,https://www.rfc-editor.org/rfc/rfc1771.html,,RFC distribution terms,"BGP-4;interdomain routing;CIDR;prefixes;aggregation;AS_PATH",mined,"Structured source record exists; identifies BGP-1/2/3/4 generations and classless/aggregation changes"
SRC-0072,rfc,Classless Inter-Domain Routing (CIDR): an Address Assignment and Aggregation Strategy,"Vince Fuller; Tony Li; Jessica Yu; Kannan Varadhan",1993-09,RFC 1519,https://www.rfc-editor.org/rfc/rfc1519.html,,RFC distribution terms,"CIDR;classless routing;longest match;aggregation;routing table growth",mined,"Structured source record exists; connect address-allocation scaling lineage to BGP-4 rather than treating CIDR as BGP-only"
SRC-0073,rfc,A Border Gateway Protocol 4 (BGP-4),"Yakov Rekhter; Tony Li; Susan Hares",2006-01,RFC 4271,https://www.rfc-editor.org/rfc/rfc4271.html,,RFC distribution terms,"BGP-4;RFC 1771 replacement;CIDR;AS path",mined,"Descendant endpoint outside core period; obsoletes RFC 1771 while retaining BGP-4 name"
SRC-0074,rfc,Exterior Gateway Protocol Formal Specification,David L. Mills,1984-04,RFC 904,https://www.rfc-editor.org/rfc/rfc904.html,,RFC distribution terms,"EGP;autonomous systems;exterior routing;reachability",mined,"Formal EGP specification; BGP-4 later explicitly cites EGP and NSFNET EGP experience as design ancestry"
SRC-0075,rfc,A Border Gateway Protocol (BGP),"Kirk Lougheed; Yakov Rekhter",1989-06,RFC 1105,https://www.rfc-editor.org/rfc/rfc1105.html,,RFC distribution terms,"BGP-1;AS path;TCP 179;cisco;NSFNET NSS;gated",mined,"First public BGP generation; RFC says implementations existed on cisco routers and NSFNET NSS"
SRC-0076,rfc,A Border Gateway Protocol (BGP),"Kirk Lougheed; Yakov Rekhter",1990-06,RFC 1163,https://www.rfc-editor.org/rfc/rfc1163.html,,RFC distribution terms,"BGP-2;path attributes;inter-AS routing",mined,"Obsoletes RFC 1105; protocol version field = 2; later history records removal of up/down/horizontal AS relations"
SRC-0077,rfc,Border Gateway Protocol 3 (BGP-3),"Kirk Lougheed; Yakov Rekhter",1991-10,RFC 1267,https://www.rfc-editor.org/rfc/rfc1267.html,,RFC distribution terms,"BGP-3;NEXT_HOP;BGP Identifier;inter-AS routing",mined,"Obsoletes RFC 1163 and explicitly calls earlier RFC generations BGP-1/BGP-2"
SRC-0078,rfc,Experience with the BGP-4 Protocol,Yakov Rekhter,1995,RFC 1773,https://www.rfc-editor.org/rfc/rfc1773.html,,RFC distribution terms,"BGP version history;BGP-2;BGP-3;BGP-4;path attributes",mined,"Useful primary-era version-change summary: BGP-2 removed up/down/horizontal relations and added path attributes; BGP-3 changed NEXT_HOP/open behavior"
SRC-0079,academic-paper,An Algorithm for Distributed Computation of a Spanning Tree in an Extended LAN,Radia J. Perlman,1985-09,SIGCOMM 1985 DOI 10.1145/318951.319004,https://people.eecs.berkeley.edu/~sylvia/papers/spanning-tree.pdf,https://doi.org/10.1145/318951.319004,copyrighted-link-only,"bridges;spanning tree;extended LAN;DEC",mined,"Primary-era design paper for distributed loop-free bridge topology; distinguish from exact later IEEE 802.1D wire revisions"
SRC-0080,rfc,Definitions of Managed Objects for Bridges,"E. Decker; P. Langille; A. Rijsinghani; K. McCloghrie",1993-07,RFC 1493,https://www.rfc-editor.org/rfc/rfc1493.html,,RFC distribution terms,"bridges;IEEE 802.1D;STP;DEC LANbridge 100;Bridge MIB;SNMP",mined,"Explicitly distinguishes DEC LANbridge 100 STP from IEEE 802.1D and maps bridge/STP state into MIB objects"
SRC-0081,standard-catalog,IEEE 802.1Q-1998 Virtual Bridged Local Area Networks,IEEE,1998-12-08,IEEE 802.1Q-1998,https://standards.ieee.org/ieee/802.1Q/1039/,,copyrighted-link-only,"VLAN;virtual bridging;802.1Q;bridges",mined,"IEEE catalog gives board approval 1998-12-08 and publication 1999-03-08; primary standard text requires licensed access"
SRC-0082,standard,Recommendation V.42 (11/1988),CCITT,1988-11,V.42 first edition,https://www.itu.int/rec/T-REC-V.42/en,,copyrighted-link-only,"modem;error correction;LAPM;MNP compatibility",mined,"ITU development history confirms first 11/1988 edition and later 1993/1996/2002 revisions"
SRC-0083,standard,Recommendation V.42bis (01/1990),CCITT,1990-01-31,V.42bis first edition,https://www.itu.int/rec/T-REC-V.42bis-199001-I/en,,copyrighted-link-only,"modem;data compression;dictionary coding;transparent mode",mined,"Approved 1990-01-31; keep separate from V.42 error correction and MNP5 compression"
SRC-0084,hardware-manual,Modem Reference Manual for Telebit T3000 and WorldBlazer,Telebit,1990s,90238-01,https://bitsavers.org/communications/telebit/90238-01_Modem_Reference_Manual_for_the_Telebit_T3000_and_WorldBlazer_Family_of_Products.pdf,,copyrighted-link-only,"V.42;LAPM;MNP Classes 2-5;V.42bis;interoperability",mined,"Deployed implementation evidence states V.42 uses LAP-M and alternate MNP through Class 4; product also supports MNP5 and V.42bis compression"
SRC-0085,technical-reference,Technical Reference for Hayes Modem Users,Hayes Microcomputer Products,1993,44-012,https://www.bitsavers.org/pdf/hayes/Hayes_44-012_Technical_Reference_For_Hayes_Modem_Users_1993.pdf,,copyrighted-link-only,"Hayes;AT command set;S-registers;Smartmodem",mined,"Hayes identifies proprietary Hayes Standard AT Command Set; later reference useful for command grammar not first-model chronology"
SRC-0086,software-manual,PC SAM - Simple Access to E-MAIL,network software documentation,1986,NIC 50008,https://archive.computerhistory.org/resources/access/text/2024/06/102802967-05-001-acc.pdf,,copyrighted-link-only,"Hayes Smartmodem 1200;AT commands;modem driver;escape sequence",mined,"Concrete deployed modem-driver example uses AT initialization dialing auto-answer CONNECT parsing +++ escape and reset/hangup"
SRC-0087,hardware-guide,PS/2 Micro Channel OEM Hardware Product Guide,IBM,1988,OEM product guide,https://bitsavers.computerhistory.org/pdf/ibm/pc/ps2/PS2_Micro_Channel_OEM_Hardware_Product_Guide_198805.pdf,,copyrighted-link-only,"Hayes-compatible modems;de facto compatibility;PC modem ecosystem",mined,"Lists multiple third-party products explicitly marketed as Hayes/Smartmodem compatible"
SRC-0088,advertisement,Hayes Smartmodem 2400 advertisement,Hayes Microcomputer Products,1986,Datamation advertisement,https://bitsavers.computerhistory.org/magazines/Datamation/19861215.pdf,,copyrighted-link-only,"Hayes;AT command set;Smartmodem 2400;compatibility",skimmed,"Contemporary marketing calls it the Hayes Standard AT Command Set; use product manuals for normative syntax"
SRC-0089,manual,Terminal Interface Message Processor: The BBN TIP Hardware Manual,Bolt Beranek and Newman Inc.,1974,NTIS ADA002481,https://ntrl.ntis.gov/NTRL/dashboard/searchResults/titleDetail/ADA002481.xhtml,,government-work-check-jurisdiction,"ARPANET;TIP;RS-232C;terminals;modem control;serial ports",mined,"NTRL abstract: up to 63 terminal devices; RS-232C; full-duplex serial; 64 ports with programmable control/status lines; structured source record exists"
SRC-0090,manual,LAT Architecture Network Manager's Guide,Digital Equipment Corporation,1985-07,AA-DJ18B-TK,https://www.glaver.org/DECserver/General%20Documents/LAT%20and%20MOP/AA-DJ18B-TK%20LAT%20Architecture%20Network%20Manager%27s%20Guide%20July%201985.pdf,,copyrighted-link-only,"LAT;DECserver 100;Ethernet terminal server;DECnet;terminal services",mined,"Primary DEC architecture/manual source; identifies DECserver 100 documentation/software-load environment; structured source record exists"
SRC-0091,manual,Configuration Guide for PortMaster Products,Livingston Enterprises,1995-12,950-1201B,https://bitsavers.computerhistory.org/pdf/livingstonEnterprises/950-1201B_Configuration_Guide_for_Portmaster_Products_Dec95.pdf,,copyrighted-link-only,"PortMaster;PPP;SLIP;PAP;CHAP;ComOS;dial access",mined,"Primary deployed access-server manual: async SLIP/PPP, LCP, PAP/CHAP, RTS/CTS, multilink PPP; structured source record exists"
